Threshold,Accuracy,Precision,Recall,F1-Score,FRR,FAR
0.1,0.6428571428571429,0.75,0.8181818181818182,0.7826086956521738,0.18181818181818182,1.0
0.1473684210526316,0.6428571428571429,0.75,0.8181818181818182,0.7826086956521738,0.18181818181818182,1.0
0.19473684210526315,0.7142857142857143,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.18181818181818182,0.6666666666666666
0.24210526315789474,0.75,0.8571428571428571,0.8181818181818182,0.8372093023255814,0.18181818181818182,0.5
0.2894736842105263,0.8214285714285714,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.18181818181818182,0.16666666666666666
0.33684210526315794,0.8571428571428571,1.0,0.8181818181818182,0.9,0.18181818181818182,0.0
0.38421052631578945,0.8571428571428571,1.0,0.8181818181818182,0.9,0.18181818181818182,0.0
0.43157894736842106,0.8571428571428571,1.0,0.8181818181818182,0.9,0.18181818181818182,0.0
0.4789473684210527,0.8571428571428571,1.0,0.8181818181818182,0.9,0.18181818181818182,0.0
0.5263157894736842,0.8571428571428571,1.0,0.8181818181818182,0.9,0.18181818181818182,0.0
0.5736842105263158,0.8571428571428571,1.0,0.8181818181818182,0.9,0.18181818181818182,0.0
0.6210526315789474,0.7857142857142857,1.0,0.7272727272727273,0.8421052631578948,0.2727272727272727,0.0
0.6684210526315789,0.6785714285714286,1.0,0.5909090909090909,0.7428571428571429,0.4090909090909091,0.0
0.7157894736842105,0.6785714285714286,1.0,0.5909090909090909,0.7428571428571429,0.4090909090909091,0.0
0.7631578947368421,0.25,1.0,0.045454545454545456,0.08695652173913045,0.9545454545454546,0.0
0.8105263157894737,0.25,1.0,0.045454545454545456,0.08695652173913045,0.9545454545454546,0.0
0.8578947368421053,0.25,1.0,0.045454545454545456,0.08695652173913045,0.9545454545454546,0.0
0.9052631578947369,0.21428571428571427,0.0,0.0,0.0,1.0,0.0
0.9526315789473684,0.21428571428571427,0.0,0.0,0.0,1.0,0.0
1.0,0.21428571428571427,0.0,0.0,0.0,1.0,0.0
